Public ID,Gene,Gene description,sch9/wt,ras2/wt,tor1/wt,,,
YAL001C,TFC3,"Largest of six subunits of the RNA polymerase III transcription initiation factor complex (TFIIIC), part of the TauB domain of TFIIIC that binds DNA at the BoxB promoter sites of tRNA and similar genes, cooperates with Tfc6p in DNA binding",-0.3306,-0.5917,-0.4050,,,
YAL002W,VPS8,"Membrane-associated hydrophilic protein that interacts with the small GTPase, Vps21p, to facilitate soluble vacuolar protein localization, required for localization and trafficking of the CPY sorting receptor, contains a RING finger motif",0.0434,-0.1137,0.0066,,,
YAL003W,EFB1,"Translation elongation factor 1 beta, stimulates nucleotide exchange to regenerate EF-1 alpha-GTP for the next elongation cycle, part of the EF-1 complex, which facilitates binding of aminoacyl-tRNA to the ribosomal A site",0.4574,0.3051,0.4257,,,
YAL005C,SSA2  SSA1,"ATP binding protein involved in protein folding and vacuolar import of proteins, member of heat shock protein 70 (HSP70) family, associated with the chaperonin-containing T-complex, present in the cytoplasm, vacuolar membrane and cell wall  ATPase involved in protein folding and nuclear localization signal (NLS)-directed nuclear transport, member of heat shock protein 70 (HSP70) family, forms a chaperone complex with Ydj1p, localized to the nucleus, cytoplasm, and cell wall",0.4046,0.5263,0.5405,,,
YAL007C,ERP2,"Protein that forms a heterotrimeric complex with Erp1p, Emp24p, and Erv25p, member, along with Emp24p and Erv25p, of the p24 family involved in ER to Golgi transport and localized to COPII-coated vesicles",0.2611,0.6100,0.4683,,,
YAL008W,FUN14,Mitochondrial protein of unknown function,0.2856,0.7607,0.4454,,,
YAL009W,SPO7,"Integral nuclearER membrane protein of unknown function, required for normal nuclear envelope morphology and sporulation",0.2817,0.3295,0.3487,,,
YAL010C,MDM10,"Subunit of the mitochondrial sorting and assembly machinery (SAM complex), has a role in assembly of the TOM complex, which mediates protein import through the outer membrane, required for normal mitochondrial morphology and inheritance",-0.1905,-0.1017,-0.0002,,,
YAL011W,SWC3,"Protein of unknown function, component of the Swr1p complex that incorporates Htz1p into chromatin, required for formation of nuclear-associated array of smooth endoplasmic reticulum known as karmellae",-0.2772,-0.5650,-0.4100,,,
YAL012W,CYS3,"Cystathionine gamma-lyase, catalyzes one of the two reactions involved in the transsulfuration pathway that yields cysteine from homocysteine with the intermediary formation of cystathionine,",0.3629,2.2893,1.4637,,,
YAL013W,DEP1,"Transcriptional modulator involved in the regulation of structural genes involved in phospholipid biosynthesis, also participates in regulation of metabolically unrelated genes as well as maintenance of mating efficiency and sporulation",0.2753,0.0047,0.2537,,,
YAL014C,SYN8,Endosomal SNARE related to mammalian syntaxin 8,0.4896,0.6374,0.4405,,,
YAL015C,NTG1,"DNA N-glycosylase and apurinicapyrimidinic (AP) lyase involved in base excision repair, localizes to the nucleus and mitochondrion",0.3315,-0.3320,0.0538,,,
YAL016C-B,---,Identified by fungal homology and RT-PCR,-0.2296,-0.2596,-0.1684,,,
YAL016W,TPD3,"Regulatory subunit A of the heterotrimeric protein phosphatase 2A, which also contains regulatory subunit Cdc55p and either catalytic subunit Pph21p or Pph22p, required for cell morphogenesis and for transcription by RNA polymerase III",-0.1345,-0.1093,-0.0060,,,
YAL017W,PSK1,"One of two (see also PSK2) PAS domain containing ST protein kinases, coordinately regulates protein synthesis and carbohydrate metabolism and storage in response to a unknown metabolite that reflects nutritional status",-0.3033,-0.7296,-0.4077,,,
YAL018C,---,Hypothetical protein,-0.3959,0.0588,0.1854,,,
YAL019W,FUN30,"Protein whose overexpression affects chromosome stability, potential Cdc28p substrate, homolog of Snf2p",-0.3435,-0.8205,-0.6599,,,
YAL020C,ATS1,"Protein with a potential role in regulatory interactions between microtubules and the cell cycle, as suggested by genetic and physical interactions with Nap1p and genetic interactions with TUB1",-0.2465,0.5945,0.1260,,,
YAL021C,CCR4,"Component of the CCR4-NOT transcriptional complex, which is involved in regulation of gene expression, component of the major cytoplasmic deadenylase, which is involved in mRNA poly(A) tail shortening",-0.1036,0.3151,0.1072,,,
YAL022C,FUN26,"Nucleoside transporter with broad nucleoside selectivity, localized to intracellular membranes",0.0564,0.6759,0.0773,,,
YAL023C,PMT2,"Protein O-mannosyltransferase, transfers mannose residues from dolichyl phosphate-D-mannose to protein serinethreonine residues, acts in a complex with Pmt1p, can instead interact with Pmt5p in some conditions, target for new antifungals",-0.4677,-0.0514,-0.1376,,,
YAL024C,LTE1,"Putative GDPGTP exchange factor required for mitotic exit at low temperatures, acts as a guanine nucleotide exchange factor (GEF) for Tem1p, which is a key regulator of mitotic exit, physically associates with Ras2p-GTP",-0.1170,-0.3584,-0.0991,,,
YAL025C,MAK16,"Essential nuclear protein, constituent of 66S pre-ribosomal particles, required for normal concentration of free 60S ribosomal subunits, required for maintenance of M1 satellite double-stranded RNA of the L-A virus",-0.2855,-0.2532,-0.1552,,,
YAL026C,DRS2,"Integral membrane Ca(2+)-ATPase, potential aminophospholipid translocase required to form a specific class of secretory vesicles that accumulate upon actin cytoskeleton disruption, mutation affects maturation of the 18S rRNA",0.4710,0.2056,0.3533,,,
YAL027W,---,Hypothetical protein,0.0190,-0.1468,0.3473,,,
YAL028W,FRT2,"Tail-anchored endoplasmic reticulum membrane protein, interacts with homolog Frt1p but is not a substrate of calcineurin (unlike Frt1p), promotes growth in conditions of high Na+, alkaline pH, or cell wall stress, potential Cdc28p substrate",0.2034,0.6246,0.5224,,,
YAL029C,MYO4,"One of two type V myosins, required for mother-specific HO expression, for the bud tip localization of ASH1 and IST2 mRNA, facilitates growth and orientation of ER tubules along with She3p",-0.2400,-0.2530,0.2624,,,
YAL030W,SNC1,"Vesicle membrane receptor protein (v-SNARE) involved in the fusion between Golgi-derived secretory vesicles with the plasma membrane, proposed to be involved in endocytosis, member of the synaptobrevinVAMP family of R-type v-SNARE proteins",0.4116,0.5638,0.6906,,,
YAL031C,---,"Cytoplasmic Glc7p-interacting protein, potential Cdc28p substrate",0.2934,0.2035,0.0604,,,
YAL032C,PRP45,"Ortholog of human transcriptional coactivator SKIP, can activate transcription of a reporter gene, interacts with splicing factors Prp22p and Prp46p",-0.0233,-0.5640,-0.1657,,,
YAL033W,POP5,"Subunit of both RNase MRP, which cleaves pre-rRNA, and nuclear RNase P, which cleaves tRNA precursors to generate mature 5 ends",-0.3036,-0.3197,0.0563,,,
YAL034C,FUN19,Non-essential protein of unknown function,0.3063,0.1958,0.3843,,,
YAL034W-A,MTW1,"Essential component of the MIND kinetochore complex (Mtw1p Including Nnf1p-Nsl1p-Dsn1p) which joins kinetochore subunits contacting DNA to those contacting microtubules, critical to kinetochore assembly",-0.0794,-0.5735,0.1196,,,
YAL035W,FUN12,"GTPase, required for general translation initiation by promoting Met-tRNAiMet binding to ribosomes and ribosomal subunit joining, homolog of bacterial IF2",-0.2699,-0.0240,-0.1247,,,
YAL036C,RBG1,"Member of the DRG family of GTP-binding proteins, interacts with translating ribosomes",0.0156,0.5880,-0.0470,,,
YAL037C-A,---,Identified by SAGE,1.7332,2.9374,1.0958,,,
YAL037W,---,Hypothetical protein,1.2029,1.9873,0.8234,,,
YAL038W,CDC19,"Pyruvate kinase, functions as a homotetramer in glycolysis to convert phosphoenolpyruvate to pyruvate, the input for aerobic (TCA cycle) or anaerobic (glucose fermentation) respiration",0.5480,0.6974,0.7509,,,
YAL039C,CYC3,"Cytochrome c heme lyase (holocytochrome c synthase), attaches heme to apo-Cyc1p in the mitochondrial intermembrane space, human ortholog may have a role in microphthalmia with linear skin defects (MLS)",0.2986,0.3323,0.3057,,,
YAL040C,CLN3,"G1 cyclin involved in cell cycle progression, activates Cdc28p kinase to promote the G1 to S phase transition, plays a role in regulating transcription of the other G1 cyclins, CLN1 and CLN2, regulated by phosphorylation and proteolysis",-0.1958,0.2713,-0.2727,,,
YAL041W,CDC24,"Guanine nucleotide exchange factor (GEF or GDP-release factor) for Cdc42p, required for polarity establishment and maintenance, and mutants have morphological defects in bud formation and shmooing",-0.0443,-0.5051,-0.3613,,,
YAL042W,ERV46,"Protein localized to COPII-coated vesicles, forms a complex with Erv41p, involved in the membrane fusion stage of transport",0.2025,0.3245,0.2601,,,
YAL043C,PTA1,"Subunit of holo-CPF, a multiprotein complex and functional homolog of mammalian CPSF, required for the cleavage and polyadenylation of mRNA and snoRNA 3 ends, involved in pre-tRNA processing, binds to the phosphorylated CTD of RNAPII",0.2835,0.5860,-0.0618,,,
YAL044C,GCV3,"H subunit of the mitochondrial glycine decarboxylase complex, required for the catabolism of glycine to 5,10-methylene-THF, expression is regulated by levels of levels of 5,10-methylene-THF in the cytoplasm",0.2693,-0.2202,0.5295,,,
YAL044W-A,---,"Similar to pombe uvi31, putative DNA repair protein",-0.0789,-0.0057,0.0727,,,
YAL046C,---,Hypothetical protein,-0.8988,-0.9839,-0.7730,,,
YAL047C,SPC72,"Component of the cytoplasmic Tub4p (gamma-tubulin) complex, binds spindle pole bodies and links them to microtubules, has roles in astral microtubule formation and stabilization",0.2129,-0.0306,0.0229,,,
YAL048C,GEM1,"Evolutionarily-conserved tail-anchored outer mitochondrial membrane GTPase which regulates mitochondrial morphology, cells lacking Gem1p contain collapsed, globular, or grape-like mitochondria, not required for pheromone-induced cell death",0.0963,0.0447,-0.1750,,,
YAL049C,---,Hypothetical protein,0.1063,0.1998,0.1824,,,
YAL051W,OAF1,"Oleate-activated transcription factor, acts alone and as a heterodimer with Pip2p, activates genes involved in beta-oxidation of fatty acids and peroxisome organization and biogenesis",0.4047,0.4530,0.1824,,,
YAL053W,---,"Protein of unknown function, green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern",0.4097,0.1548,0.1266,,,
YAL054C,ACS1,"Acetyl-coA synthetase isoform, expressed during growth on nonfermentable carbon sources and under aerobic conditions",-0.3212,-0.1342,-0.3654,,,
YAL055W,PEX22,"Putative peroxisomal membrane protein required for import of peroxisomal proteins, functionally complements a Pichia pastoris pex22 mutation",0.0173,-0.3251,0.3860,,,
YAL056W,GPB2,"Proposed beta subunit of the heterotrimeric G protein that interacts with the receptor Grp1p, has signaling role in response to nutrients, involved in regulation of pseudohyphal growth through cAMP levels, homolog of Gpb1p",-0.3094,-0.9828,-0.3683,,,
YAL058W,CNE1,"Calnexin, integral membrane ER chaperone involved in the folding and quality control of glycoproteins, 24% identical and 31% similar to mammalian calnexin but the Ca+ binding typical of calnexins has not been demonstrated in yeast",0.3135,0.7300,0.3465,,,
YAL059W,ECM1,"Protein of unknown function, localized in the nucleoplasm and the nucleolus, genetically interacts with MTR2 in 60S ribosomal protein subunit export",0.1792,0.4611,0.5071,,,
YAL060W,BDH1,"NAD-dependent (2R,3R)-2,3-butanediol dehydrogenase, a zinc-containing medium-chain alcohol dehydrogenase, produces 2,3-butanediol from acetoin during fermentation and allows using 2,3-butanediol as a carbon source during aerobic growth",-0.3616,-0.2019,-0.2867,,,
YAL061W,---,putative polyol dehydrogenase,0.1369,0.1792,0.0227,,,
YAL062W,GDH3,"NADP(+)-dependent glutamate dehydrogenase, synthesizes glutamate from ammonia and alpha-ketoglutarate, rate of alpha-ketoglutarate utilization differs from Gdh1p, expression regulated by nitrogen and carbon sources",0.1479,0.3257,-0.0245,,,
